gene_id,gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,qvalue
ENSG00000158483,FAM86C1,0.0309701950485102,2.55317177602626,0.204535536028308,0.838506142605433,0.999530115671825,-4.92409814337379,0.999530115671825
ENSG00000158486,DNAH3,0.344489484502861,-0.434998538502128,1.17377049158243,0.244315131879661,0.999530115671825,-4.56697495949301,0.999530115671825
ENSG00000158516,CPA2,0.005910094239922,0.29831207463631,0.0242714994155148,0.980702495646614,0.999530115671825,-4.79677065368347,0.999530115671825
ENSG00000158525,CPA5,-0.119196381682558,0.43440350519133,-0.401061971939572,0.689549992028476,0.999530115671825,-4.77671817212298,0.999530115671825
ENSG00000158526,TSR2,0.044615637188274,4.37156915006235,0.54713976940277,0.585957155533139,0.999530115671825,-5.01298318189037,0.999530115671825
ENSG00000158528,PPP1R9A,-0.131880213624583,6.87790574850075,-1.44527335353019,0.152674833964186,0.999530115671825,-4.49354068774855,0.999530115671825
ENSG00000158545,ZC3H18,0.0343375316578003,5.92018297049943,0.553826347568367,0.581395917457693,0.999530115671825,-5.12093476774589,0.999530115671825
ENSG00000158552,ZFAND2B,-0.0623733303855247,3.38353061516717,-0.46977734761861,0.639919140804369,0.999530115671825,-4.93867843423227,0.999530115671825
ENSG00000158555,GDPD5,0.181305098586775,2.91994129923807,0.791429950966819,0.431265828888782,0.999530115671825,-4.79693686985449,0.999530115671825
ENSG00000158560,DYNC1I1,0.252494150184641,-0.062393362624631,0.452172767584862,0.652489844897659,0.999530115671825,-4.72757570637074,0.999530115671825
ENSG00000158571,PFKFB1,0.0266241399221926,0.385261246984677,0.156190127303114,0.876315747768203,0.999530115671825,-4.79541077156118,0.999530115671825
ENSG00000158604,TMED4,-0.0423693224954205,6.34402206590975,-0.557634551838577,0.578805755180212,0.999530115671825,-5.13293928351986,0.999530115671825
ENSG00000158615,PPP1R15B,0.0166774695916843,7.31554819088509,0.132610708760763,0.894867351701306,0.999530115671825,-5.25300303865275,0.999530115671825
ENSG00000158623,COPG2,-0.143103559482862,6.10952736371824,-1.41912602463436,0.160132493413398,0.999530115671825,-4.51343101736352,0.999530115671825
ENSG00000158636,C11orf30,0.0430352956481341,6.29727881572504,0.698223716259837,0.487263059989582,0.999530115671825,-5.06635739646171,0.999530115671825
ENSG00000158669,AGPAT6,-0.0376868958676724,6.16974237291196,-0.595899282392729,0.553091928486614,0.999530115671825,-5.11255283625952,0.999530115671825
ENSG00000158683,PKD1L1,-0.0549357287425083,-0.599555512587574,-0.185537097287718,0.853324084145641,0.999530115671825,-4.73029255153803,0.999530115671825
ENSG00000158691,ZSCAN12,0.0339277084366003,5.3287360558068,0.385250258138699,0.701176058226848,0.999530115671825,-5.14916634734908,0.999530115671825
ENSG00000158710,TAGLN2,-0.200167813943098,6.23249335668291,-0.801336409508369,0.425546340671097,0.999530115671825,-4.99908464856646,0.999530115671825
ENSG00000158711,ELK4,0.151274067366814,6.41983977828792,1.74812957201798,0.0846601636183241,0.999530115671825,-4.14812885741493,0.999530115671825
ENSG00000158715,SLC45A3,0.208904777483701,2.84295427679586,0.889160120904877,0.376847596802101,0.999530115671825,-4.75734249729334,0.999530115671825
ENSG00000158717,RNF166,-0.0262982379440304,3.91180252123393,-0.408014452657394,0.684461343736979,0.999530115671825,-5.00989559758138,0.999530115671825
ENSG00000158747,NBL1,-0.219293586292052,2.95530585861842,-0.679157582677331,0.499193005125787,0.999530115671825,-4.84245484240635,0.999530115671825
ENSG00000158769,F11R,0.103874786398381,4.68417117840353,0.272680032826086,0.785871646847495,0.999530115671825,-5.12184277276017,0.999530115671825
ENSG00000158773,USF1,0.0216359730684061,5.12350251562766,0.273132298541043,0.785525344943754,0.999530115671825,-5.16083959094151,0.999530115671825
ENSG00000158792,SPATA2L,-0.0302588429696824,3.06323706613837,-0.379022555329816,0.705775041019764,0.999530115671825,-4.93211193391313,0.999530115671825
ENSG00000158793,NIT1,-0.0135453967713213,4.6472975952695,-0.206392113525274,0.837061133680402,0.999530115671825,-5.12867476852233,0.999530115671825
ENSG00000158796,DEDD,-0.0231255026802071,4.68061699593915,-0.450515733156045,0.653678342989923,0.999530115671825,-5.07718040323597,0.999530115671825
ENSG00000158805,ZNF276,-0.18228669786042,4.28356090607649,-2.13528599171086,0.0361048410527455,0.999530115671825,-3.69034348220629,0.999530115671825
ENSG00000158806,NPM2,-0.0146532435576929,0.792969478784044,-0.0614562460019296,0.95116437693641,0.999530115671825,-4.8102092880964,0.999530115671825
ENSG00000158813,EDA,0.844951321072433,-0.253380521106036,1.74199950361897,0.0857346664720633,0.999530115671825,-4.34174020162517,0.999530115671825
ENSG00000158815,FGF17,-0.190432038190581,0.558183056400924,-0.578881453551448,0.564457113077309,0.999530115671825,-4.73948922096877,0.999530115671825
ENSG00000158816,VWA5B1,0.0943429853364419,-0.740270087914577,0.14441691606294,0.885570567405882,0.999530115671825,-4.72406122168602,0.999530115671825
ENSG00000158828,PINK1,-0.0873276475844968,4.36293544725004,-0.977593330685466,0.331515022741604,0.999530115671825,-4.79521829807346,0.999530115671825
ENSG00000158850,B4GALT3,-0.0509279506822642,4.76391245472659,-0.71933357077723,0.474239728085619,0.999530115671825,-4.97877599233654,0.999530115671825
ENSG00000158856,DMTN,0.247290678767275,3.32019339771507,0.80594414323679,0.422901540720563,0.999530115671825,-4.81094298767509,0.999530115671825
ENSG00000158859,ADAMTS4,0.0688071398081553,2.24445940545254,0.228559824109578,0.819852273280967,0.999530115671825,-4.90083657348964,0.999530115671825
ENSG00000158863,FAM160B2,-0.0600236140395989,4.71557832323467,-1.01335499641476,0.314248918986279,0.999530115671825,-4.80308282662874,0.999530115671825
ENSG00000158864,NDUFS2,0.0052430719618437,6.06773287328873,0.0719208863077221,0.942862217011353,0.999530115671825,-5.23734606117292,0.999530115671825
ENSG00000158882,TOMM40L,-0.0754407624463056,3.49343190979764,-0.922318933391117,0.359410833707408,0.999530115671825,-4.76998428575454,0.999530115671825
ENSG00000158941,KIAA1967,0.0121650160851345,6.71176549349352,0.164129113355442,0.8700846287222,0.999530115671825,-5.24391561902232,0.999530115671825
ENSG00000158966,CACHD1,0.0252044575545796,7.72161971980776,0.221480568468495,0.825338732923306,0.999530115671825,-5.24167922520676,0.999530115671825
ENSG00000158985,CDC42SE2,0.0129544029139153,6.49038420180623,0.19881131808638,0.842964887343701,0.999530115671825,-5.2356538271511,0.999530115671825
ENSG00000158987,RAPGEF6,0.0514563608772614,4.82610997696229,0.381319653103032,0.704077411013837,0.999530115671825,-5.10975503522212,0.999530115671825
ENSG00000159023,EPB41,-0.0162606024042322,6.60693433893589,-0.100835943091741,0.919958064410792,0.999530115671825,-5.23887101882995,0.999530115671825
ENSG00000159055,MIS18A,0.0597022632238442,3.52027652569095,0.516928407804931,0.606774080750576,0.999530115671825,-4.95077138167074,0.999530115671825
ENSG00000159063,ALG8,0.174186844927943,5.09013130936003,1.52916645949712,0.130559662883994,0.999530115671825,-4.37992980035386,0.999530115671825
ENSG00000159069,FBXW5,-0.0724886535631803,5.47341248928896,-1.02156959581018,0.310369619830167,0.999530115671825,-4.84026337371595,0.999530115671825
ENSG00000159079,C21orf59,0.060375609834955,2.70039946898562,0.496606216156403,0.620963987785952,0.999530115671825,-4.88150663944015,0.999530115671825
ENSG00000159082,SYNJ1,-0.152748700726753,5.99938420388612,-1.61508251223301,0.110621655481917,0.999530115671825,-4.30177395171092,0.999530115671825
ENSG00000159086,PAXBP1,0.104412681126031,7.87450190023439,1.12801910537617,0.263018083779499,0.999530115671825,-4.78995508381138,0.999530115671825
ENSG00000159110,IFNAR2,0.0889478763891725,4.03284661907186,1.15820604644462,0.250567856949872,0.999530115671825,-4.66052324244122,0.999530115671825
ENSG00000159111,MRPL10,-0.0716627710135711,4.63023257802008,-0.71806938595093,0.475014109497999,0.999530115671825,-4.96840699540525,0.999530115671825
