cell_type,perturbagen,probe,probe_type,gene_symbol,entrez_id,median_rzs,direction
SZ_iPSC_NPC,suloctidil,210066_s_at,INF,AQP4,361,-2.0424669703810401,DOWN
SZ_iPSC_NPC,Vorinostat,205568_at,INF,AQP9,366,-3.5834676885308401,DOWN
SZ_iPSC_NPC,celastrol,205568_at,INF,AQP9,366,2.0512796314277901,UP
SZ_iPSC_NPC,anisomycin,212584_at,INF,AQR,9716,2.84812857352519,UP
SZ_iPSC_NPC,celastrol,212584_at,INF,AQR,9716,-2.8769253088478601,DOWN
SZ_iPSC_NPC,emetine,212584_at,INF,AQR,9716,7.2711290026388804,UP
SZ_iPSC_NPC,lycorine,212584_at,INF,AQR,9716,2.5854264004626102,UP
SZ_iPSC_NPC,suloctidil,212584_at,INF,AQR,9716,-10.560529473410799,DOWN
SZ_iPSC_NPC,trimethadione,212584_at,INF,AQR,9716,2.84410054969671,UP
SZ_iPSC_NPC,BMS-250904,211110_s_at,INF,AR,367,2.6948353974689399,UP
SZ_iPSC_NPC,suloctidil,211110_s_at,INF,AR,367,4.4749209270858703,UP
SZ_iPSC_NPC,ESTRIOL,201895_at,INF,ARAF,369,2.1351382257312501,UP
SZ_iPSC_NPC,Vorinostat,201895_at,INF,ARAF,369,-6.8860887069981098,DOWN
SZ_iPSC_NPC,celastrol,201895_at,INF,ARAF,369,-2.87847631361362,DOWN
SZ_iPSC_NPC,emetine,201895_at,INF,ARAF,369,2.0656279508970901,UP
SZ_iPSC_NPC,suloctidil,201895_at,INF,ARAF,369,4.35960483650633,UP
SZ_iPSC_NPC,Vorinostat,34206_at,INF,ARAP1,116985,3.4990137638942902,UP
SZ_iPSC_NPC,anisomycin,34206_at,INF,ARAP1,116985,-2.3995878720786399,DOWN
SZ_iPSC_NPC,lycorine,34206_at,INF,ARAP1,116985,-2.2478665906836999,DOWN
SZ_iPSC_NPC,suloctidil,34206_at,INF,ARAP1,116985,5.4258630593232899,UP
SZ_iPSC_NPC,anisomycin,213618_at,INF,ARAP2,116984,2.3195068282804501,UP
SZ_iPSC_NPC,budesonide,213618_at,INF,ARAP2,116984,-2.1816684292694601,DOWN
SZ_iPSC_NPC,emetine,213618_at,INF,ARAP2,116984,2.8812815057785,UP
SZ_iPSC_NPC,Vorinostat,218950_at,INF,ARAP3,64411,-3.8296951684401299,DOWN
SZ_iPSC_NPC,emetine,218950_at,INF,ARAP3,64411,-5.3750386200355003,DOWN
SZ_iPSC_NPC,lycorine,218950_at,INF,ARAP3,64411,-2.2129545708218901,DOWN
SZ_iPSC_NPC,methylbenzethonium chloride,218950_at,INF,ARAP3,64411,-2.1900819179709101,DOWN
SZ_iPSC_NPC,BMS-250904,210090_at,INF,ARC,23237,2.13516913638585,UP
SZ_iPSC_NPC,anisomycin,210090_at,INF,ARC,23237,2.7379623437143201,UP
SZ_iPSC_NPC,celastrol,210090_at,INF,ARC,23237,8.2206452646769996,UP
SZ_iPSC_NPC,emetine,210090_at,INF,ARC,23237,2.89479636790574,UP
SZ_iPSC_NPC,hydroquinine,210090_at,INF,ARC,23237,2.14314305918866,UP
SZ_iPSC_NPC,methylbenzethonium chloride,210090_at,INF,ARC,23237,2.8936554746514398,UP
SZ_iPSC_NPC,niclosamide,210090_at,INF,ARC,23237,2.3396193487461598,UP
SZ_iPSC_NPC,suloctidil,210090_at,INF,ARC,23237,5.2715860624123803,UP
SZ_iPSC_NPC,BAY K8644,201176_s_at,INF,ARCN1,372,2.06640773796512,UP
SZ_iPSC_NPC,LY379268,201176_s_at,INF,ARCN1,372,2.4060884296239502,UP
SZ_iPSC_NPC,anisomycin,201176_s_at,INF,ARCN1,372,3.3555223391259101,UP
SZ_iPSC_NPC,cephaeline,201176_s_at,INF,ARCN1,372,2.0857132535396499,UP
SZ_iPSC_NPC,emetine,201176_s_at,INF,ARCN1,372,7.9997483673225602,UP
SZ_iPSC_NPC,hydroquinine,201176_s_at,INF,ARCN1,372,3.4077247757901099,UP
SZ_iPSC_NPC,lycorine,201176_s_at,INF,ARCN1,372,6.2714359443696903,UP
SZ_iPSC_NPC,suloctidil,201176_s_at,INF,ARCN1,372,-3.0948838810595598,DOWN
SZ_iPSC_NPC,trimethadione,201176_s_at,INF,ARCN1,372,3.7479064106935001,UP
SZ_iPSC_NPC,BMS-250904,205239_at,INF,AREG,374,2.9713441480372,UP
SZ_iPSC_NPC,anisomycin,205239_at,INF,AREG,374,2.1672378221075799,UP
SZ_iPSC_NPC,methylbenzethonium chloride,205239_at,INF,AREG,374,2.4134598913445999,UP
SZ_iPSC_NPC,suloctidil,205239_at,INF,AREG,374,8.3767021697497093,UP
SZ_iPSC_NPC,celastrol,202128_at,INF,AREL1,9870,-3.9844969284610201,DOWN
SZ_iPSC_NPC,emetine,202128_at,INF,AREL1,9870,-2.45050376576072,DOWN
SZ_iPSC_NPC,fendiline,202128_at,INF,AREL1,9870,-2.2384946698156001,DOWN
SZ_iPSC_NPC,niclosamide,202128_at,INF,AREL1,9870,-2.7555706296920501,DOWN
SZ_iPSC_NPC,suloctidil,202128_at,INF,AREL1,9870,-5.3456769568009399,DOWN
SZ_iPSC_NPC,BMS-250904,200011_s_at,INF,ARF3,377,3.1674679146742601,UP
SZ_iPSC_NPC,Vorinostat,200011_s_at,INF,ARF3,377,2.0598268077120401,UP
SZ_iPSC_NPC,celastrol,200011_s_at,INF,ARF3,377,-4.4470184409266702,DOWN
SZ_iPSC_NPC,emetine,200011_s_at,INF,ARF3,377,-2.7456732025850199,DOWN
SZ_iPSC_NPC,hydroquinine,200011_s_at,INF,ARF3,377,-2.19731596121441,DOWN
SZ_iPSC_NPC,suloctidil,200011_s_at,INF,ARF3,377,3.6789847341022601,UP
SZ_iPSC_NPC,methylbenzethonium chloride,201096_s_at,INF,ARF4,378,2.2984338632588801,UP
SZ_iPSC_NPC,suloctidil,201096_s_at,INF,ARF4,378,-3.5449661872093401,DOWN
SZ_iPSC_NPC,emetine,201526_at,INF,ARF5,381,-2.82794715606639,DOWN
SZ_iPSC_NPC,suloctidil,201526_at,INF,ARF5,381,2.1629914150501102,UP
SZ_iPSC_NPC,suloctidil,203311_s_at,INF,ARF6,382,6.2736677720732796,UP
SZ_iPSC_NPC,anisomycin,217888_s_at,INF,ARFGAP1,55738,2.4430200703200802,UP
SZ_iPSC_NPC,emetine,217888_s_at,INF,ARFGAP1,55738,4.8425873698518096,UP
SZ_iPSC_NPC,fendiline,217888_s_at,INF,ARFGAP1,55738,-2.3621406950100301,DOWN
SZ_iPSC_NPC,suloctidil,217888_s_at,INF,ARFGAP1,55738,8.1144229757544295,UP
SZ_iPSC_NPC,Vorinostat,211975_at,INF,ARFGAP2,84364,-5.7653603815331804,DOWN
SZ_iPSC_NPC,anisomycin,211975_at,INF,ARFGAP2,84364,5.4726795968307096,UP
SZ_iPSC_NPC,emetine,211975_at,INF,ARFGAP2,84364,9.3407801870792007,UP
SZ_iPSC_NPC,lycorine,211975_at,INF,ARFGAP2,84364,4.6507442430124204,UP
SZ_iPSC_NPC,suloctidil,211975_at,INF,ARFGAP2,84364,-2.9041893950275401,DOWN
SZ_iPSC_NPC,celastrol,202211_at,INF,ARFGAP3,26286,2.5922577448823998,UP
SZ_iPSC_NPC,emetine,202211_at,INF,ARFGAP3,26286,-2.9435320621263599,DOWN
SZ_iPSC_NPC,methylbenzethonium chloride,202211_at,INF,ARFGAP3,26286,3.0612786307007398,UP
SZ_iPSC_NPC,suloctidil,202211_at,INF,ARFGAP3,26286,2.1867946181093298,UP
SZ_iPSC_NPC,PERCEPTIN,202956_at,INF,ARFGEF1,10565,-2.1940636069979802,DOWN
SZ_iPSC_NPC,Vorinostat,202956_at,INF,ARFGEF1,10565,2.5967488941129702,UP
