gene_id,gene_symbol,npc_log_fc,npc_average_expression,npc_t_statistic,npc_p_value,npc_adj_p_value,npc_q_value,disease_direction,signature_weight,sz_npc_drug_perturbation_count,sz_npc_drug_up_count,sz_npc_drug_down_count,ambiguous_drug_count,reversal_drug_count,same_direction_drug_count,reversal_fraction,max_abs_reversal_rzs,best_reversal_compound,split_name
ENSG00000011376,LARS2,0.147101901281,5.62966079356,1.67142961202,0.098933102025,0.999530115672,0.999530115672,UP,0.14778715688,4,1,3,0,3,1,0.75,3.44676540577,celastrol,train
ENSG00000011405,PIK3C2A,0.143449759672,7.62323802929,2.47870844496,0.0155047739216,0.999530115672,0.999530115672,UP,0.259577298025,6,4,2,0,2,4,0.333333333333,8.65464221572,suloctidil,train
ENSG00000011422,PLAUR,-0.155368854639,2.00106612718,-0.783803938832,0.435699536319,0.999530115672,0.999530115672,DOWN,0.0560590873615,2,2,0,0,2,0,1,5.25467000198,suloctidil,train
ENSG00000011426,ANLN,0.0810899186846,6.04618981492,0.409355047402,0.683481808086,0.999530115672,0.999530115672,UP,0.0134019774031,0,0,0,0,0,0,0,0,,validation
ENSG00000011451,WIZ,-0.0278377370652,6.64660824017,-0.458365497315,0.648056132971,0.999530115672,0.999530115672,DOWN,0.00524427821217,2,2,0,0,2,0,1,7.61279426099,suloctidil,train
ENSG00000011454,RABGAP1,-0.0207168601657,7.50054304963,-0.443792486189,0.658509730514,0.999530115672,0.999530115672,DOWN,0.00375882159918,3,2,1,0,2,1,0.666666666667,5.65289028963,emetine,train
ENSG00000011465,DCN,0.0900476882746,0.577942236012,0.109132980273,0.913397465283,0.999530115672,0.999530115672,UP,0.00354249387835,2,0,2,0,2,0,1,3.94211540285,emetine,train
ENSG00000011478,QPCTL,0.00282201708891,2.73580808268,0.024166658979,0.980785834489,0.999530115672,0.999530115672,UP,2.3777794778e-05,2,2,0,0,0,2,0,0,,test
ENSG00000011485,PPP5C,-0.0358100537044,5.86334448038,-0.518161350139,0.605917958363,0.999530115672,0.999530115672,DOWN,0.00779177263263,1,1,0,0,1,0,1,5.03194330685,suloctidil,train
ENSG00000011523,CEP68,0.0656009147214,6.40798721035,0.97221016492,0.334167304022,0.999530115672,0.999530115672,UP,0.0312283999989,2,1,1,0,1,1,0.5,2.07103457051,suloctidil,validation
ENSG00000011566,MAP4K3,-0.0829575622961,6.36531510567,-1.30852567364,0.194813757871,0.999530115672,0.999530115672,DOWN,0.0589314243145,6,5,1,0,5,1,0.833333333333,4.36996874589,emetine,train
ENSG00000011590,ZBTB32,-0.0838639261046,1.61849662402,-0.541144233316,0.590061356604,0.999530115672,0.999530115672,DOWN,0.0192134625187,2,2,0,0,2,0,1,2.48577189087,suloctidil,train
ENSG00000011638,TMEM159,-0.0122066739728,3.25766948127,-0.0759995538681,0.939628055755,0.999530115672,0.999530115672,DOWN,0.000330117588502,2,2,0,0,2,0,1,4.56965794276,suloctidil,validation
ENSG00000011677,GABRA3,0.474338489711,-1.69207133979,0.586215414012,0.559545153036,0.999530115672,0.999530115672,UP,0.119611499756,2,1,1,0,1,1,0.5,2.31469675994,suloctidil,test
ENSG00000012048,BRCA1,0.263664737313,5.43098644148,1.18381268589,0.240340679109,0.999530115672,0.999530115672,UP,0.163254011519,6,0,6,0,6,0,1,8.36808370911,suloctidil,train
ENSG00000012061,ERCC1,0.0396255628137,5.39834584074,0.666926987391,0.506928469677,0.999530115672,0.999530115672,UP,0.0116916537708,2,2,0,0,0,2,0,0,,train
ENSG00000012171,SEMA3B,-0.0303167949884,2.33734789284,-0.147104713115,0.883456261502,0.999530115672,0.999530115672,DOWN,0.00163149671084,1,1,0,0,1,0,1,3.1099712815,suloctidil,train
